Church Name,Street Address,Street Address Line 2,City,County,Postal / EirCode,Website,Denomination,Latitude,Longitude
Hillside Evangelical Church,Hillside Road,,Greystones,Wicklow,A63 C927,https://www.hillside.ie,Independent Evangelical,53.144993,-6.06594
Kilkenny Community Church,17 Irishtown,,Kilkenny,Kilkenny,,http://www.kilcomchurch.org,Independent Evangelical,52.65563,-7.255477
Killarney Christian Group,Fossa Community Hall Fossa,,Killarney,Kerry,,,Independent Evangelical,52.07119,-9.58379
Killult Christian Fellowship,Killult,,Falcarragh,Donegal,F92 R5X2,https://falcarraghcc.com/,Independent Evangelical,55.134205,-8.130093
Kilmessan Christian Church,Kilmessan,,Kilmessan,Meath,,,Independent Evangelical,53.560612,-6.662344
LA GRACE Christian Assembly,"44A John F. Kennedy Avenue, JFK Industrial Estate",,"Bluebell, Dublin 12",Dublin,D12 DKR6,http://www.lagrace.info,Independent Evangelical,53.326427,-6.355311
Letterkenny Christian Fellowship,Bonagee Hall,Bonagee Road,Letterkenny,Donegal,F92 ED95,https://www.lcf.ie/,Independent Evangelical,54.944751,-7.697285
Limerick Christian Centre Mungret,Mungret College,Mungret,Limerick,Limerick,V94 0Y56,https://www.limerickchristiancentre.com/contact-us,Independent Evangelical,52.63135,-8.679542
Limerick City Church,,,,,,,Independent Evangelical,52.659873,-8.627056
Listowel Christian Fellowship,,,,,,,Independent Evangelical,52.466122,-9.530038
Manorhamilton Christian Fellowship,Bee Park Community Centre New Line,,Manorhamilton,Leitrim,,,Independent Evangelical,54.3062546,-8.1754413
Maynooth Community Church,Dublin Road,,Maynooth,Kildare,W23 P02A,maynoothcc.org,Independent Evangelical,53.381726,-6.593948
Mullingar Christian Fellowship,Spout Well Lane,,Mullingar,Westmeath,N91 C56R,mullingarcf.ie,Independent Evangelical,53.526233,-7.339066
New Covenant Church Tralee,,,,,,,Independent Evangelical,52.271156,-9.707091
New Life Fellowship Church,Day Centre,Off Oliver Plunkett Road,Letterkenny,Donegal,,newlifefellowship.ie,Independent Evangelical,54.94806,-7.736274
Newbridge Bible Fellowship Church,Liffey Lodge,,Newbridge,Kildare,W12 CK00,,Independent Evangelical,53.1805,-6.7960
Redeemer Church,Rathfarnham Educate Together,Lereto Ave,Dublin,Dublin,D14 V5W4,https://www.redeemerdublin.ie/,Independent Evangelical,53.291757,-6.275089
Shalom Christian Fellowship,"Dawson Street / YWCA Hall, North Road",,Monaghan,Monaghan,H18 T228,https://www.facebook.com/ShalomChristianFellowshipMonaghan/,Independent Evangelical,54.247117,-6.970829
Shannon Christian Church,"Unit 2, Smithstown",,Shannon,Clare,V14 KX52,https://shannonchristians.ie/,Independent Evangelical,52.716366,-8.870825
South City Church,Glenalbyn Sports and Conference Centre,"Glenalbyn Road, Stillorgan",Dublin,Dublin,A94 WC62,https://www.southcitychurch.ie,Independent Evangelical,53.286534,-6.200003
South Hill Evangelical Church,South Hill Park,"Booterstown Avenue, Mount Merrion",Blackrock,Dublin,A94 R5W4,https://www.southhillchurchdublin.ie,Independent Evangelical,53.298803,-6.204168
"The Bride, Christian Fellowship",The Bride Christian Fellowship,Bruckless,Donegal Town,Donegal,F94 K263,https://www.facebook.com/p/The-Bride-Christian-Fellowship-100089613445513/,Independent Evangelical,54.640049,-8.389689
The Bridge Church,Unit 4 Celbridge Industrial Estate Shackleton Road,,Celbridge,Kildare,W23 R763,,Independent Evangelical,53.3416,-6.5480
The Bridge Church,"Unit 4, Celbridge Industrial Estate, Shackleton Road",,Celbridge,Kildare,W23 R763,thebridgechurch.ie,Independent Evangelical,53.343654,-6.545904
The Church on Main Street,Dara Cinema,North Main Street,Naas,Kildare,,tcoms.ie,Independent Evangelical,53.218794,-6.662489
The CornerChurch Tuam,Vicar Street,,Tuam,Galway,H54 W718,http://www.irishchristian.net/tuam,Independent Evangelical,53.514193,-8.852097
The Light House,Dean Street,,Kilkenny,Kilkenny,R95 P93V,,Independent Evangelical,52.6514,-7.2557
Tipperary Bible Church,"Arravale Rovers, Sean Treacy Park, Station Road",,Tipperary Town,Tipperary,E34 DK26,,Independent Evangelical,52.4698000,-8.1549000
Tipperary Christian Fellowship,"St Michael's Street Community Centre, St Michael Street",,Tipperary Town,Tipperary,E34 K156,,Independent Evangelical,52.4751868,-8.1592594
Tralee Bible Fellowship,1st Floor CWS Centre Upper Rock Street Gallowsfield,,Tralee,Kerry,V92 YH5V,,Independent Evangelical,52.273610,-9.705515
Tramore Bible Church,"Community Care Centre, Pond Road",,Tramore,Waterford,,,Independent Evangelical,52.1642007,-7.1500541
Trinity Church Network,The Exchange,50 Gardiner Street Lower,Dublin 1,Dublin,D01 VC03,https://www.trinity.ie,Independent Evangelical,53.350019,-6.254138
Triumph Church,The Westgrove Hotel Clane,,Clane,Kildare,W91 YWE0,,Independent Evangelical,53.2897767,-6.6818225
Tuam Evangelical Church,c/o Irish Wheelchair Association Dublin Road,,Tuam,Galway,H54 TR77,,Independent Evangelical,53.5217,-8.8475
United Church Castlebar,"T.F. Royal Hotel & Theatre, Old Westport Road",,Castlebar,Mayo,,,Independent Evangelical,53.85328602,-9.30352091
Waterford Christian Assembly,Tycor Business Centre,Corner of Morrissons Avenue and Tycor Avenue,Waterford,Waterford,X91 V8PX,https://waterford-assembly.com,Independent Evangelical,52.256999,-7.129553
Wexford Bible Church,Gaelscoil Charman,Whiterock Hill,Wexford,Wexford,Y35 XW99,wexfordbiblechurch.ie,Independent Evangelical,52.327924,-6.473087
Indian Pentecostal Church of God - IPC Dublin,86 Saint Joseph's Road,,Dublin 12,Dublin,D12 H956,ipcchurchdublin.com,Indian Pentecostal Church of God,53.309952,-6.332328
ICRM Redeemer Church Dublin,"Our Lady's Hall, 12 Mourne Road",,"Drimnagh, Dublin 12",Dublin,D12 DW68,https://www.icrmchurchdublin.com,Ireland Christian Revival Mission,53.337562,-6.278521
Abbey St Methodist Church,9c Lower Abbey Street,,Dublin 1,Dublin,D01 EY05,,Methodist,53.3486,-6.2592
Abbey Street Methodist Church,9C Lower Abbey Street,Dublin Central Mission,Dublin 1,Dublin,D01 A3C4,dublincentralmission.ie,Methodist,53.348712,-6.258178
Adare Methodist Church,Blackabbey Road,,Adare,Limerick,V94 TW83,,Methodist,52.5639,-8.7901
Ardara Methodist Church,Front Street,,Ardara,Donegal,,,Methodist,54.763620,-8.411550
Arklow Methodist Church,15-17 Ferrybank,,Arklow,Wicklow,Y14 VK65,,Methodist,52.7931,-6.1432
Athlone Methodist Church,Northgate Street,,Athlone,Westmeath,N37 ND76,,Methodist,53.4249,-7.9421
Athy Methodist Church,5-6 Woodstock Street,,Athy,Kildare,R14 RH70,,Methodist,52.9921,-6.9832
Ballina Methodist Church,Wesley Place James Connolly Street,,Ballina,Mayo,,,Methodist,54.11194,-9.15664
Ballineen Methodist Church,West End,,Ballineen,Cork,P47 DW68,,Methodist,51.7332,-8.9661
Ballingrane Methodist Church,Ballingrane,,Askeaton,Limerick,V94 H793,,Methodist,52.5661,-8.9332
Ballintra Methodist Church,Main Street,,Ballintra,Donegal,,,Methodist,54.578820,-8.124810
Bandon Methodist Church,Bridge Street,,Bandon,Cork,P72 KD27,,Methodist,51.7451,-8.7412
Birr Methodist,Emmet Street,,Birr,Offaly,R42 KC42,,Methodist,53.0945,-7.9122
Blacklion Methodist Church,Cornagee Road,,Blacklion,Cavan,F91 PC97,,Methodist,54.290042,-7.887404
Blanchardstown Methodist Church,1-21 Boulevard,"French Park, Tyrrelstown",Dublin 15,Dublin,D15 H5H0,blanchardstownmethodistchurch.com,Methodist,53.420376,-6.383319
Borrisokane Methodist Church,Main Street,,Borrisokane,Tipperary,E45 F611,,Methodist,53.0231,-8.1282
Bray Methodist Church,Eglinton Road,,Bray,Wicklow,A98 YR84,,Methodist,53.2012,-6.1081
Carlow Methodist Church,Athy Road,,Carlow,Carlow,R93 RW31,,Methodist,52.8391,-6.9322
Centenary Methodist Church,Leeson Park,,Dublin 6,Dublin,D06 N152,,Methodist,53.3302,-6.2531
Clonakilty Methodist Church,Dunmanway Road,,Clonakilty,Cork,P85 TY80,,Methodist,51.6242,-8.8921
Clontarf Methodist Church,201 Clontarf Road,,Dublin 3,Dublin,D03 NY50,,Methodist,53.3631,-6.2024
Cloughjordan Methodist Church,Main Street,,Cloughjordan,Tipperary,E53 DF24,,Methodist,52.9432,-8.0351
Cork (Ardfallen Methodist Church,Nursery Drive,,Ballinlough,Cork,T12 VX20,,Methodist,51.8887,-8.4391
Cork (Military Rd) Methodist Church,"St. Luke's, Military Road",,Cork,Cork,T23 K299,,Methodist,51.9051,-8.4652
Donegal Town Methodist Church,Waterloo Place,,Donegal Town,Donegal,,,Methodist,54.655210,-8.112050
Drimoleague Methodist Church,West End,,Drimoleague,Cork,,https://www.westcorkmethodists.com/drimoleague,Methodist,51.659227,-9.263666
Dublin Central Methodist Church,Church of St George & St Thomas Cathal Brugha Street,,Rotunda,Dublin,Dublin 1,,Methodist,53.352401,-6.259216
Dublin Korean,"Litton Hall, Leeson Park",,Dublin 6,Dublin,D06 N152,,Methodist,53.3302,-6.2531
Dun Laoghaire Methodist Church,10 Northumberland Ave,,Dun Laoghaire,Dublin,A96 VY15,,Methodist,53.2921,-6.1342
Dundrum Methodist Church,Ballinteer Road,Dundrum Methodist Church,"Dundrum, Dublin 16",Dublin,D16 WK27,https://dundrummethodist.ie/,Methodist,53.276371,-6.244032
Enniscorthy Methodist Church,Mill Park Road,,Enniscorthy,Wexford,Y21 XE97,,Methodist,52.5021,-6.5682
Gateway Methodist Church,Gateway Methodist Church,Killarney Road,Kenmare,Kerry,,https://www.kenmare.ie/kenmare-item/gateway-methodist-church/,Methodist,51.88423,-9.591112
Gorey Methodist Church,Market Square,,Gorey,Wexford,Y25 AE65,,Methodist,52.6752,-6.2931
Inver Methodist Church,Drumconor,,Inver,Donegal,,,Methodist,54.64227,-8.25505
Kenmare Methodist Church,"Gateway, Gortamullin",,Kenmare,Kerry,V93 T9XT,,Methodist,51.8831,-9.5852
Kilkenny Methodist Church,10 William Street,,Kilkenny,Kilkenny,R95 DH29,,Methodist,52.6531,-7.2512
Killarney Methodist Church,1 Countess Road,,Killarney,Kerry,V93 CHP9,,Methodist,52.0592,-9.5051
Kinsale Methodist Church,Market Quay,,Kinsale,Cork,P17 CR29,,Methodist,51.7058,-8.5221
Limerick (Christ Church) Methodist Church,O'Connell Street,,Limerick,Limerick,V94 VY72,,Methodist,52.6625,-8.6254
Longford Methodist Church,Battery Road,,Longford,Longford,N39 AC62,,Methodist,53.7291,-7.7984
Lucan Methodist Church,Dispensary Road,,Lucan,Dublin,K78 R7P2,,Methodist,53.3582,-6.4491
Methodist Centenary Church,"Wesley House, Leeson Park",,Ranelagh,Dublin,D06 E542,,Methodist,53.329315,-6.251702
Methodist Church Farnagh,Farnagh,,Carrick-on-Shannon,Leitrim,,,Methodist,53.9765,-8.05157
Monaghan Methodist Church,Dawson Street,,Monaghan,Monaghan,,,Methodist,54.2472087,-6.9685796
Mountmellick Methodist Church,Parnell Street,,Mountmellick,Laois,R32 E062,,Methodist,53.1182,-7.3271
Portlaoise Methodist Church,Heatlow,,Portlaoise,Laois,R32 TP08,,Methodist,53.0331,-7.3002
Rathgar Methodist Church,6 Brighton Road,,Terenure,Dublin,D06 H797,,Methodist,53.3152,-6.2751
Roscrea Methodist Church,The Mall,,Roscrea,Tipperary,E53 H019,,Methodist,52.9551,-7.7972
Shinrone Methodist Church,Main Street,,Shinrone,Offaly,R42 N932,,Methodist,52.9982,-7.8681
Skerries Methodist Church,Mourne View,,Skerries,Dublin,K34 PP62,,Methodist,53.5821,-6.1112
Skibbereen Methodist Church,Mill Road,,Skibbereen,Cork,P81 V184,,Methodist,51.5512,-9.2661
St. Patrick's United Church,"Gateway Centre, Patrick Street",,Waterford,Waterford,X91 HY48,,Methodist,52.260326,-7.114122
Sutton (Landmark) Methodist Church,Church Road,,Sutton,Dublin,D13 K092,,Methodist,53.3912,-6.1121
Tallaght (An Solas) Methodist Church,Jobstown,,Tallaght,Dublin,D24 XW6P,,Methodist,53.2751,-6.3772
Tullamore Methodist Church,Store Street,,Tullamore,Offaly,R35 RR62,,Methodist,53.2731,-7.4952
Urban Junction,Blackrock,,Dublin,Dublin,A94 K6C3,,Methodist,53.3002,-6.1761
Waterford Methodist Church,Greyfriars,,Waterford,Waterford,X91 K160,,Methodist,52.2611,-7.1082
Wexford Methodist Church,Ardcavan Lane,,Wexford,Wexford,Y35 CY82,,Methodist,52.3481,-6.4672
Wicklow Methodist Church,Convent Road,,Wicklow,Wicklow,A67 WK11,,Methodist,52.9781,-6.0442
Youghal Methodist,Friar Street,,Youghal,Cork,P36 W271,,Methodist,51.9442,-7.8481
New Apostolic Church Dublin,Quaker House Stocking Lane Rathfarnham,,Dublin,Dublin,D16 V3F8,,New Apostolic,53.2726162,-6.3060898
(Howth and) Malahide Presbyterian Church,Dublin Road,,Malahide,Dublin,,https://www.hmpchurch.org,PCI,53.45027,-6.15906
Abbey Presbyterian Church,Parnell Square North,,North Frederick Street,Dublin,,https://www.abbeychurch.ie,PCI,53.35442,-6.26392
Adelaide Road Presbyterian Church,18a Adelaide Road,,Dublin 2,Dublin,,https://www.adelaideroadchurch.ie,PCI,53.33266,-6.25829
Adelaide Road Presbyterian Church,18A Adelaide Road,Dublin 2,Dublin,Dublin,D02 HP49,,PCI,53.332755,-6.258598
Aghada Presbyterian Church,"Church Road, Upper Aghada",,Midleton,Cork,,,PCI,51.83735,-8.21453
Alt Presbyterian Church,"Alt Upper, Castlefin",,Lifford,Donegal,,,PCI,54.76657,-7.59044
Arklow Presbyterian Church,Dublin Road,,Arklow,Wicklow,,https://www.arklowpresbyterianchurch.com,PCI,52.80458,-6.14905
Athy Presbyterian Church,Dublin Road,,Athy,Kildare,,,PCI,52.99316,-6.97439
Bailieborough - First Presbyterian Church,Corglass,,Bailieborough,Cavan,,https://www.bgpc.ie,PCI,53.95346,-6.97184
Bailieborough - Trinity Presbyterian Church,Virginia Road,,Bailieborough,Cavan,,https://www.bgpc.ie,PCI,53.91604,-6.96051
Balbriggan Presbyterian Church,Balbriggan Clubs Community Centre Dublin Street,,Balbriggan,Dublin,K32 NA00,,PCI,53.6074901,-6.1836503
Ballina Presbyterian Church,Walsh Street,,Ballina,Mayo,,https://www.ballinapresbyterian.ie,PCI,54.11443,-9.15282
Ballyalbany Presbyterian Church,"Coolshannagh Road, Ballyalbany",,Monaghan,Monaghan,,https://www.ballyalbanychurch.com,PCI,54.26268,-6.96528
Ballybay - First Presbyterian Church,Derryvally,,Ballybay,Monaghan,,,PCI,54.13404,-6.93483
Ballybay - Second Presbyterian Church,Hall Street,,Ballybay,Monaghan,,,PCI,54.12878,-6.90641
Ballylennon Presbyterian Church,"Listannagh, Saint Johnston",,Lifford,Donegal,,,PCI,54.88789,-7.51102
Bellasis Presbyterian Church,N3 Drumgora,,Virginia,Cavan,,https://jeanmackarel.wixsite.com/cavanpresbyterian,PCI,53.87663,-7.12645
Blackrock - St Andrew’s Presbyterian Church,18 Mount Merrion Avenue,,Blackrock,Dublin,,https://www.standrewschurchblackrock.ie,PCI,53.30182,-6.18379
Bray - St. Andrew's Presbyterian Church,Quinsborough Road,,Bray,Wicklow,,https://www.standrewschurchbray.com,PCI,53.20468,-6.10672
Burt Presbyterian Church,"Carrownamaddy, Speenoge",,Lifford,Donegal,,https://www.burtpresbyterianchurch.com,PCI,55.03933,-7.42582
Cahir Presbyterian Church,Abbey Street,,Cahir,Tipperary,,,PCI,52.37886,-7.92942
Carlow Presbyterian Church,Athy Road,,Carlow,Carlow,,https://www.carlowscotspc.ie,PCI,52.83995,-6.93037
Carndonagh Presbyterian Church,"Tulnaree, Carndonagh",,Lifford,Donegal,,https://www.inishowen4pc.com,PCI,55.2506,-7.23808
Carnone Presbyterian Church,"Carnowen, Raphoe",,Lifford,Donegal,,,PCI,54.83888,-7.62536
Carrickmacross Presbyterian Church,Farney Street,,Carrickmacross,Monaghan,,,PCI,53.9785850,-6.7203380
Carrigart Presbyterian Church,Church Road,,Carrigart,Donegal,,https://www.carrigartpresbyterianchurch.com,PCI,55.17627,-7.78911
Castleblayney - First Presbyterian Church,"Mucknoo Street, Keady Road",,Castleblayney,Monaghan,,,PCI,54.12687,-6.73601
Cavan Presbyterian Church,15 Farnham Street,,Cavan Town,Cavan,,https://jeanmackarel.wixsite.com/cavanpresbyterian,PCI,53.99146,-7.36264
Christ Church Presbyterian/Methodist,51 O'Connell Street,,Limerick,Limerick,V94 HPH9,,PCI,52.6612,-8.6293
Christ Church Rathgar Presbyterian Church,Rathgar Road,,Rathgar,Dublin,,https://www.christchurchrathgar.org,PCI,53.31282,-6.27349
Clones Presbyterian Church,Monaghan Street,,Clones,Monaghan,,https://clonespchurchesgroup.wixsite.com/clonespchurchesgroup,PCI,54.17971,-7.23052
Clontarf and Scots,3 Howth Road,,Clontarf,Dublin,,https://www.clontarfchurch.ie,PCI,53.36419,-6.22704
Clontibret Presbyterian Church,Braddocks,,,Monaghan,,,PCI,54.19888,-6.88718
Convoy Presbyterian Church,"Letterkenny Road, Convoy",,Lifford,Donegal,,,PCI,54.86086,-7.66438
Cootehill Presbyterian Church,Bridge Street,,Cootehill,Cavan,,,PCI,54.07363,-7.08443
Corboy Presbyterian Church,Corboy,,Edgeworthstown,Longford,,https://www.corboychurch.com,PCI,53.71255,-7.67496
Cork - Trinity Presbyterian Church,Little William Street,,Cork,Cork,,https://www.presbyteriancork.com,PCI,51.90168,-8.46576
Corraneary Presbyterian Church,Corraneary,,Cootehill,Cavan,,https://www.bgpc.ie,PCI,53.99265,-7.02324
Corvally Presbyterian Church,"Shanco, Corvally",,Carrickmacross,Monaghan,,,PCI,53.99754,-6.83572
Crossroads Presbyterian Church,"Garshooey, Newtowncunningham",,Lifford,Donegal,,,PCI,54.98318,-7.43688
Donabate Presbyterian Church,"Donabate & Portrane Community Centre, Portrane Road",,Donabate,Dublin,,https://www.donabatepc.org,PCI,53.48999,-6.14255
Donegal Presbyterian Church,Mountcharles Road,,Donegal Town,Donegal,,https://www.donegaltownpresbyterianchurch.com,PCI,54.65569,-8.11371
Donoughmore Presbyterian Church,"1 Carricknashane, Castlefin",,Lifford,Donegal,,,PCI,54.80107,-7.63912
Drogheda Presbyterian Church,Colpe East,,Drogheda,Louth,,https://www.droghedapresbyterian.ie,PCI,53.71656,-6.34763
Drumkeen Presbyterian Church,Aghadrumkeen,,Newbliss,Monaghan,,,PCI,54.14865,-7.06005
Drumkeeran Presbyterian Church,"L125B Drumkilroosk, Drumkeeran",,Killeshandra,Cavan,,https://jeanmackarel.wixsite.com/cavanpresbyterian,PCI,53.96031,-7.52671
Dun Laoghaire Presbyterian Church,York Road,,Dun Laoghaire,Dublin,,https://www.dl-pc.org,PCI,53.29069,-6.14397
Dundalk Presbyterian Church,Jocelyn Street,,Dundalk,Louth,,https://www.dundalkpresbyterianchurch.com,PCI,54.00485,-6.39564
Dunfanaghy Presbyterian Church,"St Patrick's Hill, Dunfanaghy",,Letterkenny,Donegal,,,PCI,55.18307,-7.96812
Ervey Presbyterian Church,nr Ervey Lough,,Ervey,Meath,,https://www.bgpc.ie,PCI,53.88891,-6.84413
Fahan Presbyterian Church,"Tievebane, Burnfoot",,Lifford,Donegal,,https://www.fahanchurch.org,PCI,55.06506,-7.43113
Fannet Presbyterian Church,"Main Street, Kerrykeel",,Letterkenny,Donegal,,,PCI,55.13932,-7.66459
Fermoy Presbyterian Church,"Allen's Walk, Carrignagroghera",,Fermoy,Cork,,,PCI,52.14206,-8.27408
First Monaghan Presbyterian Church,Old Cross Square,,Monaghan,Monaghan,H18 XW22,,PCI,54.2471900,-6.9657100
Frankford Presbyterian Church,"Blaney Road, Newtownhamilton Road",,Castleblaney,Monaghan,,,PCI,54.13535,-6.72347
Garmany's Grove Presbyterian Church,"Formil, Drumagrib",,Castleblayney,Monaghan,,,PCI,54.14911,-6.68581
Glennan Presbyterian Church,"Glennan, Glaslough",,Monaghan,Monaghan,,,PCI,54.32415,-6.91707
Greenbank Presbyterian Church,"Greenbank, Quigleys Point",,Lifford,Donegal,,https://www.inishowen4pc.com,PCI,55.12026,-7.20339
Greystones Presbyterian Church,Trafalgar Road,,Greystones,Wicklow,,https://www.greystonespc.org,PCI,53.14727,-6.06379
Howth (and Malahide) Presbyterian Church,"103 Howth Road, Howth",,Dublin,,,https://www.hmpchurch.org,PCI,53.39061,-6.08596
Inch Presbyterian,Carnaghan,,Inch Island,Donegal,,,PCI,55.06249,-7.48661
Kells Presbyterian Church,Bective Street,,Kells,Meath,,,PCI,53.72422,-6.88043
Kilkenny Presbyterian Church,16 New Road,,Kilkenny,Kilkenny,,https://www.kilkennychurch.com,PCI,52.65998,-7.25005
Killeshandra Presbyterian Church,Shancroghan,,Killeshandra,Cavan,,https://jeanmackarel.wixsite.com/cavanpresbyterian,PCI,54.02238,-7.54324
Kilmacrennan,"Leiter, Kilmacrennan",,Letterkenny,Donegal,,,PCI,55.03113,-7.75047
Kilmount Presbyterian Church,"Cornasaus, Mountain Lodge",,Cootehill,Cavan,,,PCI,54.00694,-7.08776
Knowhead Presbyterian Church,"Knowehead, Muff",,Lifford,Donegal,,,PCI,55.06509,-7.28452
Letterkenny - Trinity Presbyterian Church,Upper Main Street,,Letterkenny,Donegal,,,PCI,54.95149,-7.73603
Letterkenny Presbyterian Church,Main Street,,Letterkenny,Donegal,,,PCI,54.951420,-7.735810
Lucan Presbyterian Church,Lower Main Street,,Lucan,Dublin,,https://www.lpc.ie,PCI,53.35804,-6.44846
Malahide Presbyterian Church,Dublin Road,,Malahide,Dublin,K36 PE80,,PCI,53.4501268,-6.1595067
Malin Presbyterian Church,"Goorey, Malin",,Lifford,Donegal,,https://www.inishowen4pc.com,PCI,55.31021,-7.31221
Maynooth Presbyterian Church,Dublin Road,,Maynooth,Kildare,,https://www.maynoothcc.org,PCI,53.38407,-6.59475
McKelvey's Grove Presbyterian Church,Loughbrattoge,,Castleblaney,Monaghan,,,PCI,54.18198,-6.70364
Milford Presbyterian Church,"Kilmacrennan Road, Milford",,Letterkenny,Donegal,,,PCI,55.08654,-7.70033
Monaghan - First Presbyterian Church,Dublin Street,,Monaghan Town,Monaghan,,https://www.firstmonaghanpci.org,PCI,54.24716,-6.96607
Monreagh Presbyterian Church,"Glebe, Monreagh",,St Johnston,Donegal,,,PCI,54.95625,-7.45621
Moville Presbyterian Church,"Glencrow, Moville",,Lifford,Donegal,,https://www.inishowen4pc.com,PCI,55.18834,-7.04405
Mullingar Presbyterian Church,"35-39 Grange Crescent, Rathgowan",,Mullingar,Westmeath,,https://www.mullingarpresbyterian.com,PCI,53.52687,-7.34008
Naas Presbyterian Church,North Main Street,,Naas,Kildare,,https://www.naaspci.ie,PCI,53.21783,-6.66364
Newbliss Presbyterian Church,Drumshannon,,Newbliss,Monaghan,,https://clonespchurchesgroup.wixsite.com/clonespchurchesgroup,PCI,54.16074,-7.13093
Newtowncunningham Presbyterian Church,"Monad Road, Newtowncunningham",,Lifford,Donegal,,,PCI,54.99561,-7.52195
Ramelton Presbyterian Church,"Church Street, Ramelton",,Letterkenny,Donegal,,https://www.rameltonpresbyterianchurch.com,PCI,55.03634,-7.64522
Raphoe & Ballindrait Presbyterian Church,"Meetinghouse Street, Raphoe",,Lifford,Donegal,,,PCI,54.87364,-7.59888
Rathmullan Presbyterian Church,"Pier Road, Rathmullan",,Letterkenny,Donegal,,,PCI,55.0959,-7.53508
Ray Presbyterian Church,"Errity, Manorcunningham",,Letterkenny,Donegal,,,PCI,54.95407,-7.62065
Rockcorry Presbyterian Church,Main Street,,Rockcorry,Monaghan,,,PCI,54.11686,-7.01519
Sligo Presbyterian Church,Church Street,,Sligo,Sligo,F91 A312,https://www.facebook.com/sligopresbyterianchurch/,PCI,54.26957,-8.475566
Smithborough Presbyterian Church,Mulladuff,,Smithborough,Monaghan,,,PCI,54.22223,-7.09804
St. Johnston Presbyterian Church,"Church Street, St. Johnston",,Lifford,Donegal,,,PCI,54.93397,-7.46074
Stonebridge Presbyterian Church,Gransha More,,Clones,Monaghan,,https://clonespchurchesgroup.wixsite.com/clonespchurchesgroup,PCI,54.20117,-7.16845
Strand and Buncrana Presbyterian Church,Millbrae,,Buncrana,Donegal,,,PCI,55.131689,-7.452400
Stranorlar Presbyterian Church,"Meeting House Street, Stranorlar",,Ballybofey,Donegal,,,PCI,54.80686,-7.76896
Trenta Presbyterian Church,Carnatrentagh,,Letterkenny,Donegal,,https://www.trentaghpci.org,PCI,55.02054,-7.79125
Trinity Presbyterian Church,Virginia Road,,Bailieborough,Cavan,,,PCI,53.913194,-6.971565
Trinity Presbyterian Church,Little William Street Summerhill North,,Cork,Cork,T23 XR63,,PCI,51.9017100,-8.4652960
Tullamore Presbyterian Church,45 High Street,,Tullamore,Offaly,,https://www.tullamorepresbyterian.org,PCI,53.27209,-7.49459
United Presbyterian Church,Queen Street,,Galway,Galway,,https://www.unitedchurchgalway.ie,PCI,53.27285,-9.04811
Wexford Church Development (PCI),Anne Street,,Wexford,Wexford,,,PCI,52.33845,-6.46092
Abundant Grace Christian Assembly,"Regal House, 28 Fitzwilliam Street",Ringsend,Dublin 4,Dublin,D04 FH24,https://www.abundantgrace.ie,Pentecostal,53.342294,-6.227141
Abundant Life Family Church,"Abundant Life Family Church, Bluebell Lane",George Cooke Industrial Estate,Dublin,Dublin,D12 HPY2,https://www.facebook.com/abundantlifefamilychurchdublin/,Pentecostal,53.329155,-6.346923
AFM Praise Tabernacle,9 Portland Row,Dublin 1,Dublin,Dublin,,,Pentecostal,53.356380,-6.248930
Alive Chapel,Mill Park Road,,Enniscorthy,Wexford,,,Pentecostal,52.499977,-6.567202
Alive Church Enniscorthy,Unit 2 Abbey Centre,,Enniscorthy,Wexford,Y21 V2X4,alivechurch.ie,Pentecostal,52.500249,-6.565136
All Nations Church,"National Stadium, 145 South Circular Road",,Dublin 8,Dublin,D08 HY40,https://www.allnations.ie/,Pentecostal,53.330833,-6.280278
